3,244	+	+	93.7%	97.2%	96.2%#	0.4%	0.4%#	92.7%	94.5%	95.3%#	97.0%#
3,244	+	+	89.7%	94.2%	95.2%	0.6%	0.6%	88.4%	90.8%	93.8%	96.3%
3,244	+	+	86.4%	91.0%	94.6%#	0.7%	0.8%#	85.0%	87.8%	92.9%#	95.9%#
3,244	+	+	83.0%	87.5%	94.6%#	0.9%	0.8%#	81.1%	84.7%	92.9%#	95.9%#
3,244	+	+	+	83.9%	+	+	+	+	+	+	+
3,244	+	+	+	+	+	+	+	+	+	+	+
3,244	+	+	+	+	+	+	+	+	+	+	+
3,244	+	+	+	+	+	+	+	+	+	+	+
3,244	+	+	+	+	+	+	+	+	+	+	+
3,244	+	+	+	+	+	+	+	+	+	+	+
