4,034	+	+	97.4%	98.7%	98.7%	0.3%	0.3%	96.9%	97.9%	98.0%	99.1%
4,034	+	+	95.3%	97.4%	97.9%	0.4%	0.4%	94.5%	96.0%	97.0%	98.5%
4,034	+	+	92.7%	95.9%	96.7%	0.5%	0.5%	91.7%	93.7%	95.5%	97.6%
4,034	+	+	89.4%	94.4%	94.7%	0.7%	0.8%	87.8%	90.8%	92.9%	96.1%
4,034	+	+	+	92.7%	+	+	+	+	+	+	+
4,034	+	+	+	+	+	+	+	+	+	+	+
4,034	+	+	+	+	+	+	+	+	+	+	+
4,034	+	+	+	+	+	+	+	+	+	+	+
4,034	+	+	+	+	+	+	+	+	+	+	+
4,034	+	+	+	+	+	+	+	+	+	+	+
