3,574	14.80	15.21	56.1%	98.7%	56.8%	0.9%	0.9%	54.3%	57.8%	55.0%	58.5%
3,574	14.80	15.21	34.3%	97.4%	35.2%	0.9%	0.9%	32.5%	36.1%	33.4%	37.1%
3,574	14.80	15.21	21.0%	96.0%	21.9%	0.9%	0.9%	19.3%	22.8%	20.1%	23.7%
3,574	14.80	15.21	14.2%	94.5%	15.0%	0.9%	0.9%	12.5%	16.0%	13.2%	16.9%
3,574	14.80	15.21	+	92.8%	+	+	+	+	+	+	+
3,574	14.80	15.21	+	+	+	+	+	+	+	+	+
3,574	14.80	15.21	+	+	+	+	+	+	+	+	+
3,574	14.80	15.21	+	+	+	+	+	+	+	+	+
3,574	14.80	15.21	+	+	+	+	+	+	+	+	+
3,574	14.80	15.21	+	+	+	+	+	+	+	+	+
