3,865	+	+	95.3%	99.4%	95.9%	0.4%	0.4%	94.6%	96.0%	95.1%	96.6%
3,865	+	+	89.0%	98.7%	90.2%	0.6%	0.6%	87.8%	90.1%	88.9%	91.3%
3,865	+	+	83.4%	98.1%	85.1%	0.8%	0.8%	81.9%	84.9%	83.5%	86.6%
3,865	+	+	78.8%	97.3%	81.0%	1.0%	1.0%	76.8%	80.7%	78.9%	82.9%
3,865	+	+	+	96.5%	+	+	+	+	+	+	+
3,865	+	+	+	+	+	+	+	+	+	+	+
3,865	+	+	+	+	+	+	+	+	+	+	+
3,865	+	+	+	+	+	+	+	+	+	+	+
3,865	+	+	+	+	+	+	+	+	+	+	+
3,865	+	+	+	+	+	+	+	+	+	+	+
