3,355	+	+	85.9%	97.2%	88.4%	0.6%	0.7%	84.6%	87.1%	87.1%	89.6%
3,355	+	+	76.2%	94.1%	81.0%	0.8%	0.9%	74.6%	77.8%	79.2%	82.7%
3,355	+	+	68.3%	90.9%	75.1%	1.0%	1.1%	66.3%	70.2%	72.9%	77.2%
3,355	+	+	60.5%	87.5%	69.1%	1.2%	1.4%	58.0%	62.8%	66.3%	71.8%
3,355	+	+	+	83.8%	+	+	+	+	+	+	+
3,355	+	+	+	+	+	+	+	+	+	+	+
3,355	+	+	+	+	+	+	+	+	+	+	+
3,355	+	+	+	+	+	+	+	+	+	+	+
3,355	+	+	+	+	+	+	+	+	+	+	+
3,355	+	+	+	+	+	+	+	+	+	+	+
