2,610	+	+	96.7%	99.8%	96.9%	0.4%	0.4%	95.8%	97.3%	96.1%	97.6%
2,610	+	+	91.3%	99.5%	91.7%	0.7%	0.7%	89.9%	92.5%	90.3%	92.9%
2,610	+	+	85.9%	99.2%	86.5%	0.9%	0.9%	84.0%	87.5%	84.7%	88.2%
2,610	+	+	80.8%	98.9%	81.6%	1.2%	1.2%	78.4%	82.9%	79.2%	83.8%
2,610	+	+	+	98.6%	+	+	+	+	+	+	+
2,610	+	+	+	+	+	+	+	+	+	+	+
2,610	+	+	+	+	+	+	+	+	+	+	+
2,610	+	+	+	+	+	+	+	+	+	+	+
2,610	+	+	+	+	+	+	+	+	+	+	+
2,610	+	+	+	+	+	+	+	+	+	+	+
