3,118	20.28	20.54	66.7%	99.4%	67.1%	0.9%	0.9%	64.9%	68.4%	65.3%	68.8%
3,118	20.28	20.54	43.5%	98.7%	44.1%	1.0%	1.0%	41.4%	45.5%	42.0%	46.1%
3,118	20.28	20.54	28.7%	98.0%	29.3%	1.1%	1.1%	26.6%	30.8%	27.2%	31.4%
3,118	20.28	20.54	20.3%	97.3%	20.8%	1.1%	1.2%	18.1%	22.5%	18.6%	23.1%
3,118	20.28	20.54	+	96.4%	+	+	+	+	+	+	+
3,118	20.28	20.54	+	+	+	+	+	+	+	+	+
3,118	20.28	20.54	+	+	+	+	+	+	+	+	+
3,118	20.28	20.54	+	+	+	+	+	+	+	+	+
3,118	20.28	20.54	+	+	+	+	+	+	+	+	+
3,118	20.28	20.54	+	+	+	+	+	+	+	+	+
