2,857	29.86	+	69.7%	91.3%	76.4%	0.9%	1.0%	67.9%	71.5%	74.4%	78.2%
2,857	29.86	+	55.2%	82.9%	66.6%	1.0%	1.3%	53.1%	57.2%	64.1%	69.0%
2,857	29.86	+	45.5%	74.5%	61.1%	1.1%	1.5%	43.3%	47.7%	58.0%	64.0%
2,857	29.86	+	37.9%	66.4%	57.1%	1.3%	1.9%	35.4%	40.4%	53.3%	60.8%
2,857	29.86	+	+	58.3%	+	+	+	+	+	+	+
2,857	29.86	+	+	+	+	+	+	+	+	+	+
2,857	29.86	+	+	+	+	+	+	+	+	+	+
2,857	29.86	+	+	+	+	+	+	+	+	+	+
2,857	29.86	+	+	+	+	+	+	+	+	+	+
2,857	29.86	+	+	+	+	+	+	+	+	+	+
