3,970	+	+	98.3%	99.4%	98.9%	0.2%	0.2%	97.8%	98.7%	98.3%	99.2%
3,970	+	+	97.1%	98.8%	98.3%#	0.3%	0.3%#	96.5%	97.7%	97.6%#	98.8%#
3,970	+	+	95.5%	98.1%	97.2%#	0.4%	0.4%#	94.6%	96.2%	96.3%#	98.0%#
3,970	+	+	94.0%	97.4%	96.6%	0.6%	0.6%	92.8%	95.0%	95.2%	97.5%
3,970	+	+	+	96.6%	+	+	+	+	+	+	+
3,970	+	+	+	+	+	+	+	+	+	+	+
3,970	+	+	+	+	+	+	+	+	+	+	+
3,970	+	+	+	+	+	+	+	+	+	+	+
3,970	+	+	+	+	+	+	+	+	+	+	+
3,970	+	+	+	+	+	+	+	+	+	+	+
