2,429	3.49	3.72	23.3%	91.1%	25.6%	0.9%	1.0%	21.5%	25.1%	23.6%	27.5%
2,429	3.49	3.72	10.8%	83.0%	13.0%	0.7%	0.9%	9.5%	12.3%	11.4%	14.8%
2,429	3.49	3.72	5.3%	75.1%	7.0%	0.6%	0.8%	4.2%	6.5%	5.5%	8.6%
2,429	3.49	3.72	3.2%	67.7%	4.7%#	0.6%	0.8%#	2.3%	4.4%	3.3%#	6.4%#
2,429	3.49	3.72	+	62.5%	+	+	+	+	+	+	+
2,429	3.49	3.72	+	+	+	+	+	+	+	+	+
2,429	3.49	3.72	+	+	+	+	+	+	+	+	+
2,429	3.49	3.72	+	+	+	+	+	+	+	+	+
2,429	3.49	3.72	+	+	+	+	+	+	+	+	+
2,429	3.49	3.72	+	+	+	+	+	+	+	+	+
