0	0	^	^	57,727,201
0	1	^	^	29,542,157
0	2	^	^	28,185,044
1	0	^	^	229,151,699
1	1	^	^	117,245,231
1	2	^	^	111,906,468
2	0	^	^	286,872,544
2	1	^	^	146,868,330
2	2	^	^	140,004,214
3	0	0.0	35	280,504,527
3	1	0.0	22	143,719,216
3	2	0.0	13	136,785,311
4	0	0.1	200	280,333,881
4	1	0.1	120	143,974,685
4	2	0.1	80	136,359,196
5	0	0.2	539	284,042,282
5	1	0.2	323	144,584,664
5	2	0.2	216	139,457,618
6	0	0.4	1,365	304,588,017
6	1	0.5	772	153,262,938
6	2	0.4	593	151,325,079
7	0	1.0	3,112	324,454,236
7	1	1.1	1,712	162,346,323
7	2	0.9	1,400	162,107,913
8	0	2.0	6,351	321,555,858
8	1	2.1	3,419	159,875,787
8	2	1.8	2,932	161,680,071
9	0	4.0	11,827	294,621,047
9	1	4.3	6,295	145,599,118
9	2	3.7	5,532	149,021,929
10	0	8.2	20,579	249,452,054
10	1	9.2	11,274	122,522,071
10	2	7.3	9,305	126,929,983
11	0	15.8	32,817	207,469,627
11	1	18.2	18,428	101,146,116
11	2	13.5	14,389	106,323,511
12	0	28.6	49,468	173,188,829
12	1	34.0	28,263	83,218,172
12	2	23.6	21,205	89,970,657
13	0	47.2	74,592	157,982,982
13	1	58.1	43,172	74,280,031
13	2	37.5	31,420	83,702,951
14	0	71.2	105,209	147,778,869
14	1	89.2	59,821	67,079,788
14	2	56.2	45,388	80,699,081
15	0	102.6	130,914	127,637,530
15	1	128.8	71,097	55,214,769
15	2	82.6	59,817	72,422,761
16	0	140.4	140,159	99,801,262
16	1	176.2	70,593	40,067,140
16	2	116.5	69,566	59,734,122
17	0	193.5	126,875	65,565,597
17	1	241.5	56,598	23,439,357
17	2	166.8	70,277	42,126,240
18	0	285.1	152,238	53,388,939
18	1	342.2	51,501	15,048,312
18	2	262.7	100,737	38,340,627
19	0	^	^	0
19	1	^	^	0
19	2	^	^	0
