0	0	^	^	44,033,900
0	1	^	^	22,509,248
0	2	^	^	21,524,652
1	0	^	^	176,404,252
1	1	^	^	90,126,965
1	2	^	^	86,277,287
2	0	^	^	221,473,602
2	1	^	^	113,123,909
2	2	^	^	108,349,693
3	0	0.0	16	228,444,346
3	1	0.0	11	116,807,688
3	2	^	^	111,636,658
4	0	0.0	98	238,106,916
4	1	0.0	60	122,170,106
4	2	0.0	38	115,936,810
5	0	0.2	433	240,523,000
5	1	0.2	251	123,105,024
5	2	0.2	182	117,417,976
6	0	0.5	1,086	231,928,087
6	1	0.5	617	117,052,672
6	2	0.4	469	114,875,415
7	0	1.1	2,407	223,031,377
7	1	1.2	1,317	111,839,578
7	2	1.0	1,090	111,191,799
8	0	2.1	4,776	223,039,645
8	1	2.4	2,660	111,206,667
8	2	1.9	2,116	111,832,978
9	0	4.2	9,768	233,768,991
9	1	4.6	5,328	116,086,684
9	2	3.8	4,440	117,682,307
10	0	7.9	19,260	243,014,858
10	1	8.9	10,708	120,083,606
10	2	7.0	8,552	122,931,252
11	0	13.7	32,822	240,351,379
11	1	15.9	18,758	117,803,125
11	2	11.5	14,064	122,548,254
12	0	20.8	45,224	217,737,726
12	1	25.3	26,667	105,575,074
12	2	16.5	18,557	112,162,652
13	0	30.9	55,954	181,151,202
13	1	38.5	33,385	86,769,190
13	2	23.9	22,569	94,382,012
14	0	43.8	61,678	140,848,704
14	1	54.8	36,330	66,346,782
14	2	34.0	25,348	74,501,922
15	0	63.0	66,922	106,151,860
15	1	78.1	37,892	48,516,013
15	2	50.4	29,030	57,635,847
16	0	89.8	74,416	82,874,215
16	1	109.2	39,379	36,064,867
16	2	74.9	35,037	46,809,348
17	0	127.2	80,168	63,041,179
17	1	152.4	38,456	25,240,497
17	2	110.3	41,712	37,800,682
18	0	198.0	120,294	60,742,886
18	1	226.4	45,117	19,927,851
18	2	184.2	75,177	40,815,035
19	0	^	^	0
19	1	^	^	0
19	2	^	^	0
